80.4869 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
84.5428 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

84.5445 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1390c37f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1391d1278>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
84.5446 	EXP 	window1: recordFrameIntervals = False
84.7755 	EXP 	window1: recordFrameIntervals = True
84.9422 	WARNING 	t of last frame was 50.76ms (=1/19)
85.0585 	WARNING 	t of last frame was 50.36ms (=1/19)
85.1754 	WARNING 	t of last frame was 49.98ms (=1/20)
85.2924 	WARNING 	t of last frame was 50.46ms (=1/19)
85.4093 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
87.1094 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

89.2349 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
89.6986 	EXP 	text: autoDraw = True
99.5165 	DATA 	Keypress: space
101.8277 	DATA 	Keypress: space
103.7632 	EXP 	Imported trial_conditions.csv as conditions, 111 conditions, 9 params
103.7639 	EXP 	Created sequence: sequential, trialTypes=111, nReps=1, seed=None
103.7650 	EXP 	Created stim1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim1', opacity=1.0, ori=0, pos=array([10.,  0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
