,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9591144541205928,0.16113289234530725,37,7D,3.0,3.0,3.952112805386118,1.317370935128706,gaussian
1,ground truth,-0.96757013482612,0.16203206059165565,37,7D,3.1,3.1,3.7956710440546573,1.2244100142111798,gaussian
2,ground truth,-0.9715599987927612,0.16419975812310206,37,7D,3.2,3.2,3.7409421706004835,1.169044428312651,gaussian
3,ground truth,-0.9705224497663159,0.1693680894519085,37,7D,3.3000000000000003,3.3000000000000003,3.634867043875605,1.1014748617804864,gaussian
4,ground truth,-0.9729496855614349,0.1626567330976516,37,7D,3.4000000000000004,3.4000000000000004,3.747033375921851,1.102068639977015,gaussian
5,ground truth,-0.9778677090638906,0.16289163543568164,37,7D,3.5000000000000004,3.5000000000000004,3.6859555273742126,1.0531301506783464,gaussian
6,ground truth,-0.974046675895029,0.15750846946145436,37,7D,3.6000000000000005,3.6000000000000005,3.8485950487842513,1.0690541802178475,gaussian
7,ground truth,-0.9791021830624496,0.15798729580854542,37,7D,3.7000000000000006,3.7000000000000006,3.6755655121138866,0.9933960843551043,gaussian
8,ground truth,-0.9786875918578176,0.1682624531512209,37,7D,3.8000000000000007,3.8000000000000007,3.5407055310811884,0.9317646134424178,gaussian
9,ground truth,-0.977854842538942,0.15997557406769602,37,7D,3.900000000000001,3.900000000000001,3.632162878625652,0.9313238150322183,gaussian
10,ground truth,-0.9855177991771306,0.16218532972740896,37,7D,4.000000000000001,4.000000000000001,3.3796239718936714,0.8449059929734176,gaussian
11,ground truth,-0.979486863514879,0.16261847122748563,37,7D,4.100000000000001,4.100000000000001,3.750914735217604,0.9148572524920983,gaussian
12,ground truth,-0.984040786014974,0.1664587099620174,37,7D,4.200000000000001,4.200000000000001,3.7960877603303107,0.9038304191262643,gaussian
13,ground truth,-0.9783281652601058,0.162376986745145,37,7D,4.300000000000001,4.300000000000001,3.6960334754464266,0.8595426687084712,gaussian
14,ground truth,-0.9788936049234217,0.17205893149840368,37,7D,4.400000000000001,4.400000000000001,3.900535032631457,0.8864852346889673,gaussian
15,ground truth,-0.986180492417597,0.16213110427603272,37,7D,4.500000000000002,4.500000000000002,3.965531996003504,0.8812293324452227,gaussian
16,ground truth,-0.9815312652976549,0.16721226782186283,37,7D,4.600000000000001,4.600000000000001,3.444429038451854,0.7487889214025768,gaussian
17,ground truth,-0.9841575677694359,0.16655846436829114,37,7D,4.700000000000001,4.700000000000001,3.6655493527316985,0.7799041176024889,gaussian
18,ground truth,-0.9861290680693832,0.170565022793559,37,7D,4.800000000000002,4.800000000000002,3.81693851278582,0.7951955234970456,gaussian
19,ground truth,-0.9860076505035716,0.16976235121613503,37,7D,4.900000000000002,4.900000000000002,4.127541717017584,0.8423554524525678,gaussian
20,ground truth,-0.9879811910725494,0.17038254861450008,37,7D,5.000000000000002,5.000000000000002,3.527591357247524,0.7055182714495046,gaussian
21,ground truth,-0.9885755414589792,0.1584221178615206,37,7D,5.100000000000001,5.100000000000001,3.5701547437102223,0.700030341903965,gaussian
22,ground truth,-0.9894936016249436,0.16235224742563037,37,7D,5.200000000000002,5.200000000000002,3.5887533451612676,0.6901448740694743,gaussian
23,ground truth,-0.9876668268074738,0.16697031100659032,37,7D,5.3000000000000025,5.3000000000000025,3.8300331015922287,0.7226477550174013,gaussian
24,ground truth,-0.9880902996631018,0.16319634964033058,37,7D,5.400000000000002,5.400000000000002,3.898468812594654,0.7219386689990097,gaussian
25,ground truth,-0.9948200800064063,0.16606903681229201,37,7D,5.500000000000002,5.500000000000002,3.6537125995598325,0.6643113817381512,gaussian
26,ground truth,-0.9907164231528138,0.16502416572921397,37,7D,5.600000000000002,5.600000000000002,3.8116684837254913,0.6806550863795517,gaussian
27,ground truth,-0.9914745615140691,0.17465172293837672,37,7D,5.700000000000003,5.700000000000003,3.519225238536934,0.6174079365854267,gaussian
28,ground truth,-0.9894000146639538,0.16931382794418015,37,7D,5.8000000000000025,5.8000000000000025,3.682705822816338,0.6349492797959201,gaussian
29,ground truth,-0.9926280517030945,0.15775015721622054,37,7D,5.900000000000002,5.900000000000002,3.5214399076402376,0.5968542216339383,gaussian
30,ground truth,-0.9882372719401881,0.17246341564138867,37,7D,6.000000000000003,6.000000000000003,3.8827636931468605,0.6471272821911431,gaussian
31,ground truth,-0.9924483136997398,0.1682460725326853,37,7D,6.100000000000003,6.100000000000003,3.866291809909793,0.6338183294934083,gaussian
32,ground truth,-0.9903561712336959,0.1831388693918352,37,7D,6.200000000000003,6.200000000000003,3.656275179553753,0.5897218031538309,gaussian
33,ground truth,-0.9905324179861518,0.16561229270590105,37,7D,6.3000000000000025,6.3000000000000025,3.7010086411295258,0.5874616890681784,gaussian
