,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9985758830673418,0.164052847195427,37,7D,21,21,3.47718123509964,0.16558005881426857,gaussian
1,ground truth,-0.9998567151466161,0.16721034875291174,37,7D,22,22,3.8845011765379702,0.17656823529718046,gaussian
2,ground truth,-0.9993647026552614,0.17274165138566544,37,7D,23,23,3.4596042510433427,0.15041757613231924,gaussian
3,ground truth,-0.9992425754777957,0.1677109816259561,37,7D,24,24,3.7692329898926578,0.15705137457886073,gaussian
4,ground truth,-0.9988730799783286,0.1663842005105648,37,7D,25,25,3.770112435112263,0.1508044974044905,gaussian
5,ground truth,-0.9993050514549608,0.16367852867230726,37,7D,26,26,3.7178356269559973,0.14299367795984605,gaussian
6,ground truth,-1.0000044826622496,0.15970659931192832,37,7D,27,27,3.579899004630375,0.13258885202334722,gaussian
7,ground truth,-0.999729794754317,0.17080308769033936,37,7D,28,28,3.8465223988492707,0.13737579995890253,gaussian
8,ground truth,-0.9997437952842478,0.1666827613793398,37,7D,29,29,3.5961207624068585,0.12400416422092615,gaussian
9,ground truth,-0.9996108696131975,0.16173647601298013,37,7D,30,30,4.05905422550095,0.13530180751669835,gaussian
10,ground truth,-0.9998423994921135,0.1629744846540101,37,7D,31,31,3.7251016005769695,0.1201645677605474,gaussian
11,ground truth,-0.9993784699524498,0.16833604656417855,37,7D,32,32,3.949071923081537,0.12340849759629803,gaussian
12,ground truth,-0.9997490264135198,0.16411824092171112,37,7D,33,33,3.7902121501540167,0.11485491364103081,gaussian
13,ground truth,-1.0001043752005774,0.1580029246811585,37,7D,34,34,3.710527349365511,0.10913315733427974,gaussian
14,ground truth,-0.9999358725035604,0.16096671512695448,37,7D,35,35,3.672150067091541,0.1049185733454726,gaussian
15,ground truth,-0.999449247709817,0.16861891513119454,37,7D,36,36,4.0103613601783605,0.11139892667162113,gaussian
16,ground truth,-0.9996433571485106,0.16343429362078177,37,7D,37,37,3.7122757897922214,0.10033177810249247,gaussian
17,ground truth,-1.0000086354683775,0.167821150751285,37,7D,38,38,3.7440750637102007,0.09852829115026844,gaussian
18,ground truth,-0.9995073658516903,0.16991977936536484,37,7D,39,39,3.8147814293787703,0.0978149084456095,gaussian
19,ground truth,-1.0000252745823917,0.16308202837071029,37,7D,40,40,3.5091891663797954,0.08772972915949488,gaussian
20,ground truth,-0.999877516324003,0.16613541154600964,37,7D,41,41,3.5274022457627625,0.08603420111616494,gaussian
21,ground truth,-0.9999826986705866,0.16583793319838303,37,7D,42,42,3.7972592808998074,0.09041093525951922,gaussian
22,ground truth,-0.9998285872818539,0.16380205661725,37,7D,43,43,4.149064218048247,0.09648986553600575,gaussian
23,ground truth,-0.9996363577873805,0.16345779522974324,37,7D,44,44,3.725847017326157,0.08467834130286721,gaussian
24,ground truth,-0.9994839184400522,0.16778584463058555,37,7D,45,45,3.7559377275654633,0.08346528283478807,gaussian
25,ground truth,-1.0002357845839156,0.16334292559821584,37,7D,46,46,3.927191794962611,0.08537373467310024,gaussian
26,ground truth,-0.9994805782274223,0.16513445958673467,37,7D,47,47,3.777608084806486,0.08037464010226567,gaussian
27,ground truth,-0.9996587459074325,0.16062475893817707,37,7D,48,48,3.6337206013049053,0.07570251252718553,gaussian
28,ground truth,-0.999976860610009,0.16672303512308184,37,7D,49,49,3.436327126736448,0.07012912503543771,gaussian
29,ground truth,-1.0000560668747833,0.16965822766151417,37,7D,50,50,3.7287186413819526,0.07457437282763905,gaussian
30,ground truth,-0.9998946592789191,0.1621733042172343,37,7D,51,51,3.7494422702191113,0.07351847588664924,gaussian
31,ground truth,-0.9997387749938442,0.1633946335578148,37,7D,52,52,3.744371103152866,0.07200713659909358,gaussian
32,ground truth,-1.0000153440536055,0.17086461842436784,37,7D,53,53,3.6176819633556048,0.06825815025199254,gaussian
33,ground truth,-1.0000681500814605,0.15963317282690437,37,7D,54,54,3.734471366349812,0.06915687715462615,gaussian
34,ground truth,-0.9995796551430524,0.16854443315320655,37,7D,55,55,4.031686660323773,0.0733033938240686,gaussian
35,ground truth,-1.0000470130770602,0.1596312881915607,37,7D,56,56,3.907754137035679,0.06978132387563712,gaussian
36,ground truth,-0.9998907247675192,0.16837568204653242,37,7D,57,57,3.732235831479944,0.06547782160491131,gaussian
37,ground truth,-0.9999716583843044,0.15557095535537802,37,7D,58,58,3.5645580943097035,0.06145789817775351,gaussian
38,ground truth,-0.9998120133054399,0.16508843953436192,37,7D,59,59,3.9141366245466966,0.06634129872113045,gaussian
39,ground truth,-0.9999735406437253,0.16073004142822933,37,7D,60,60,3.516397916894483,0.05860663194824138,gaussian
