,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9973279582198679,0.17227036767887716,37,2D,11.0,11.0,2.172827465102052,0.19752976955473198,gaussian
1,ground truth,-0.9956488779541538,0.16527163540526546,37,2D,11.25,11.25,2.2201792665673405,0.19734926813931916,gaussian
2,ground truth,-0.9984759351858892,0.166623401135513,37,2D,11.5,11.5,1.9644047130124047,0.17081780113151346,gaussian
3,ground truth,-0.9970327393708774,0.15979837256686868,37,2D,11.75,11.75,2.070421133702664,0.17620605393214162,gaussian
4,ground truth,-0.9985007851868507,0.15852177530217137,37,2D,12.0,12.0,2.00350634982034,0.16695886248502834,gaussian
5,ground truth,-0.9982211152956249,0.16647683877859365,37,2D,12.25,12.25,1.986539814262013,0.16216651544996025,gaussian
6,ground truth,-0.9983934347365584,0.15398451526084567,37,2D,12.5,12.5,1.9584228000297905,0.15667382400238325,gaussian
7,ground truth,-0.9985984692921878,0.16311743739585816,37,2D,12.75,12.75,2.0760372541467467,0.1628264513056272,gaussian
8,ground truth,-0.9997958211325197,0.1566374448667074,37,2D,13.0,13.0,1.8666454880843737,0.14358811446802874,gaussian
9,ground truth,-0.9988545734335795,0.16524102029119325,37,2D,13.25,13.25,2.2619693522185584,0.17071466809196667,gaussian
10,ground truth,-0.9972797036875698,0.15823775085102765,37,2D,13.5,13.5,2.0332825719830305,0.15061352385059484,gaussian
11,ground truth,-0.9997354061883119,0.16678553295634002,37,2D,13.75,13.75,2.048810633335478,0.14900440969712567,gaussian
12,ground truth,-0.9989952770257167,0.15400871655911852,37,2D,14.0,14.0,1.8267038720248323,0.13047884800177373,gaussian
13,ground truth,-0.9985104100947089,0.1575023161398562,37,2D,14.25,14.25,1.7605483571217013,0.12354725313134746,gaussian
14,ground truth,-0.998807339390583,0.16163593639882112,37,2D,14.5,14.5,2.183412729638601,0.150580188250938,gaussian
15,ground truth,-0.9985118157930952,0.16202411850750387,37,2D,14.75,14.75,1.8802446958695005,0.12747421666911868,gaussian
16,ground truth,-0.999055243400913,0.1615647595094053,37,2D,15.0,15.0,2.1954699184403217,0.1463646612293548,gaussian
17,ground truth,-0.9973972144038556,0.16456555976149323,37,2D,15.25,15.25,1.6443594207428087,0.10782684726182352,gaussian
18,ground truth,-0.998575348993951,0.15261963761904962,37,2D,15.5,15.5,1.9050614746938037,0.12290719191572927,gaussian
19,ground truth,-0.9995071666315478,0.16357514302271203,37,2D,15.75,15.75,1.8386320590309406,0.11673854343053591,gaussian
20,ground truth,-0.9988469867697655,0.16871567849266267,37,2D,16.0,16.0,1.9348813375648828,0.12093008359780517,gaussian
21,ground truth,-0.9997394783876531,0.17037970399499558,37,2D,16.25,16.25,1.9276011792864143,0.11862161103301011,gaussian
22,ground truth,-0.9984636946287831,0.16986055081080775,37,2D,16.5,16.5,1.9506542481138875,0.11822146958265985,gaussian
23,ground truth,-0.9995735782629565,0.16523214845373413,37,2D,16.75,16.75,2.102092650335363,0.1254980686767381,gaussian
24,ground truth,-0.997565534828687,0.16304533364714868,37,2D,17.0,17.0,1.9245140190865548,0.11320670700509146,gaussian
25,ground truth,-0.9985903990797759,0.16701338796139897,37,2D,17.25,17.25,1.951046942812448,0.11310417059782307,gaussian
26,ground truth,-0.9986634170436123,0.1586625753410723,37,2D,17.5,17.5,1.9887316644711426,0.113641809398351,gaussian
27,ground truth,-0.9987011777250653,0.1720393139827835,37,2D,17.75,17.75,1.9856625428146892,0.1118683122712501,gaussian
28,ground truth,-0.9996791282453815,0.16258803853747106,37,2D,18.0,18.0,2.1368592424829456,0.11871440236016365,gaussian
29,ground truth,-0.9997677401630336,0.15836605727661957,37,2D,18.25,18.25,1.7194661638684121,0.09421732404758422,gaussian
30,ground truth,-0.9992623643837686,0.15767659232098075,37,2D,18.5,18.5,2.2628395368372693,0.12231565063985239,gaussian
31,ground truth,-0.9987803524521939,0.15919164622560256,37,2D,18.75,18.75,1.7606242018035319,0.0938999574295217,gaussian
32,ground truth,-0.9988041057880341,0.1599610067831594,37,2D,19.0,19.0,1.8202075891409868,0.09580039942847299,gaussian
33,ground truth,-0.9998678140473491,0.16285563610939402,37,2D,19.25,19.25,1.8843364127660407,0.09788760585797614,gaussian
34,ground truth,-0.9991377286897535,0.16673637214191805,37,2D,19.5,19.5,1.8762917903311966,0.09622009181185624,gaussian
