,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9965978338331865,0.15895427174637078,37,2D,11.0,11.0,2.0528125441724008,0.18661932219749097,gaussian
1,ground truth,-0.9976358333255432,0.16906745960492708,37,2D,11.5,11.5,1.9564537892313265,0.17012641645489796,gaussian
2,ground truth,-0.9984178266517361,0.15854711624473372,37,2D,12.0,12.0,1.9463975786458398,0.16219979822048666,gaussian
3,ground truth,-0.9970360401614914,0.16607295323986526,37,2D,12.5,12.5,2.152230390931926,0.17217843127455407,gaussian
4,ground truth,-0.9978588153745436,0.15968354527228068,37,2D,13.0,13.0,2.1449226705441564,0.1649940515803197,gaussian
5,ground truth,-0.9989934757671435,0.1666703343511413,37,2D,13.5,13.5,2.159792231725882,0.15998460975747275,gaussian
6,ground truth,-0.9989885268186687,0.1650600036010782,37,2D,14.0,14.0,1.836849786738035,0.13120355619557392,gaussian
7,ground truth,-0.9993568649254169,0.16112807524416606,37,2D,14.5,14.5,1.9937907923443572,0.1375028132651281,gaussian
8,ground truth,-0.999663243312881,0.16958758197660206,37,2D,15.0,15.0,1.8444975561992183,0.12296650374661455,gaussian
9,ground truth,-0.9992704922122969,0.1662925465233197,37,2D,15.5,15.5,1.6639389478427984,0.1073508998608257,gaussian
10,ground truth,-0.9996697394755037,0.16635037310204115,37,2D,16.0,16.0,1.8523915540840128,0.1157744721302508,gaussian
11,ground truth,-0.9993895212602859,0.16582677671716006,37,2D,16.5,16.5,1.9148591874494207,0.11605207196663156,gaussian
12,ground truth,-1.0002676269945325,0.16491087744133248,37,2D,17.0,17.0,1.6847339123120648,0.09910199484188617,gaussian
13,ground truth,-0.9980310263473317,0.16385649311998418,37,2D,17.5,17.5,2.4154512109150557,0.13802578348086034,gaussian
14,ground truth,-0.9986632155771396,0.1643209944637536,37,2D,18.0,18.0,1.7869586652796396,0.09927548140442442,gaussian
15,ground truth,-0.9988066067467513,0.1730639466577203,37,2D,18.5,18.5,1.9103425123425954,0.10326175742392407,gaussian
16,ground truth,-0.999491047485901,0.16591858676808413,37,2D,19.0,19.0,1.8547729501206713,0.09761962895371955,gaussian
17,ground truth,-0.9988091501122239,0.16121319794479527,37,2D,19.5,19.5,1.8386776464014898,0.09429116135392256,gaussian
18,ground truth,-0.999317107050818,0.1618944494434873,37,2D,20.0,20.0,2.068322724606078,0.1034161362303039,gaussian
19,ground truth,-0.9995571402344373,0.16242065660667127,37,2D,20.5,20.5,1.9493589791951123,0.0950906819119567,gaussian
20,ground truth,-0.9997253178175398,0.162063423578777,37,2D,21.0,21.0,1.8864306136412496,0.08983002922101188,gaussian
21,ground truth,-0.9999879155523825,0.16789109496435217,37,2D,21.5,21.5,1.9302073018803898,0.08977708380839022,gaussian
22,ground truth,-0.9996561978477015,0.1686593272222362,37,2D,22.0,22.0,2.073520086181972,0.09425091300827146,gaussian
23,ground truth,-0.9991084712661608,0.16532802486531017,37,2D,22.5,22.5,1.9978038013191082,0.08879128005862703,gaussian
24,ground truth,-0.9997369719734791,0.16464949005736962,37,2D,23.0,23.0,2.039624443434346,0.08867932362758026,gaussian
25,ground truth,-0.9993285869454442,0.15908841157091502,37,2D,23.5,23.5,1.9896258813539818,0.08466493112144603,gaussian
26,ground truth,-0.999355385491393,0.1599041541018551,37,2D,24.0,24.0,1.8957436684448907,0.07898931951853712,gaussian
27,ground truth,-0.9993441459631113,0.16100101061246042,37,2D,24.5,24.5,2.073546114011939,0.08463453526579343,gaussian
28,ground truth,-0.9994364872063008,0.16454332360062762,37,2D,25.0,25.0,1.7227836099360396,0.06891134439744158,gaussian
29,ground truth,-1.0000183912275635,0.1663160500182651,37,2D,25.5,25.5,1.9354998422212624,0.07590195459691225,gaussian
30,ground truth,-1.000122482763591,0.16236337515140575,37,2D,26.0,26.0,1.9263477198352574,0.07409029691674067,gaussian
31,ground truth,-0.9994951297108576,0.16458423712638148,37,2D,26.5,26.5,1.7576710597313012,0.06632720980118118,gaussian
32,ground truth,-1.0000813541515357,0.16510222918384343,37,2D,27.0,27.0,1.9151822704301673,0.07093267668259878,gaussian
33,ground truth,-0.9998194649670966,0.16133740562323773,37,2D,27.5,27.5,2.0007458784980456,0.07275439558174711,gaussian
34,ground truth,-0.9999213213826215,0.1630123221923907,37,2D,28.0,28.0,2.024771735219741,0.07231327625784789,gaussian
35,ground truth,-0.9995603236257697,0.1651986913003768,37,2D,28.5,28.5,2.094683861505146,0.07349767935105776,gaussian
36,ground truth,-0.9999898960144192,0.1721537955839395,37,2D,29.0,29.0,2.2126093534905418,0.07629687425829454,gaussian
37,ground truth,-0.9998455277262064,0.15666834713470867,37,2D,29.5,29.5,2.050622100565773,0.06951261357850079,gaussian
38,ground truth,-0.999544860928313,0.1589641999073823,37,2D,30.0,30.0,2.2049709732310374,0.07349903244103458,gaussian
39,ground truth,-1.0001688151856511,0.1651339020829402,37,2D,30.5,30.5,1.962633978641226,0.06434865503741724,gaussian
40,ground truth,-1.0002104805152194,0.1661944780780723,37,2D,31.0,31.0,1.876316766004833,0.06052634729047848,gaussian
41,ground truth,-0.9998301491819287,0.16819241471162283,37,2D,31.5,31.5,2.119661657267023,0.06729084626244516,gaussian
42,ground truth,-0.9996378585588314,0.16783765492189207,37,2D,32.0,32.0,1.8626361988412212,0.05820738121378816,gaussian
43,ground truth,-0.9994610318544176,0.16158852738128426,37,2D,32.5,32.5,1.8990859137972707,0.05843341273222371,gaussian
44,ground truth,-0.9998606268549911,0.17066396325782307,37,2D,33.0,33.0,1.9595353666574862,0.0593798595956814,gaussian
45,ground truth,-0.9999535362329735,0.17011931392249924,37,2D,33.5,33.5,2.161073501274382,0.06450965675445916,gaussian
46,ground truth,-0.9996934142018781,0.1591823758474168,37,2D,34.0,34.0,1.8533992585539647,0.05451174289864602,gaussian
47,ground truth,-0.9994115679804024,0.17032914510484543,37,2D,34.5,34.5,1.9187200218840466,0.05561507309808831,gaussian
48,ground truth,-1.0000561867722546,0.16302486219671752,37,2D,35.0,35.0,2.1174453640737125,0.06049843897353464,gaussian
49,ground truth,-0.9998778470446864,0.15911279790543742,37,2D,35.5,35.5,2.1717824892687174,0.061176971528696264,gaussian
50,ground truth,-0.9996738392338599,0.15677914252872915,37,2D,36.0,36.0,2.025931999920909,0.05627588888669192,gaussian
51,ground truth,-0.9993889848537107,0.1582548615717344,37,2D,36.5,36.5,1.9308067146019257,0.0528988140986829,gaussian
52,ground truth,-0.9996552560205626,0.16263594783833224,37,2D,37.0,37.0,1.8820832848090565,0.050867115805650176,gaussian
53,ground truth,-0.999832345347146,0.16702684973912818,37,2D,37.5,37.5,1.6331602851731133,0.043550940937949686,gaussian
54,ground truth,-0.9998749778406583,0.15499934726621067,37,2D,38.0,38.0,1.9076327979095327,0.05020086310288244,gaussian
55,ground truth,-1.0000723783082133,0.16296455433092305,37,2D,38.5,38.5,1.826518560124969,0.047442040522726464,gaussian
56,ground truth,-0.999969575344756,0.16807085369584507,37,2D,39.0,39.0,2.20482622106323,0.05653400566828795,gaussian
57,ground truth,-0.9999680632835751,0.16247654194591976,37,2D,39.5,39.5,2.097925174204502,0.05311202972669625,gaussian
58,ground truth,-0.9998567812617145,0.16380925915129185,37,2D,40.0,40.0,1.7906515608425384,0.04476628902106346,gaussian
