,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9880792826597523,0.16922159182547247,37,7D,5,5,3.5676475906865104,0.713529518137302,gaussian
1,ground truth,-0.9914250046878349,0.162034844632874,37,7D,6,6,3.675791581713834,0.612631930285639,gaussian
2,ground truth,-0.9962025691177289,0.1696716779919224,37,7D,7,7,3.726092543637554,0.5322989348053648,gaussian
3,ground truth,-0.9981293216691244,0.1699348717503999,37,7D,8,8,3.7404510339337307,0.46755637924171634,gaussian
4,ground truth,-0.996812676314443,0.16070331742451172,37,7D,9,9,3.637898742383261,0.4042109713759179,gaussian
5,ground truth,-0.9960592253899352,0.1662407912453242,37,7D,10,10,3.655438200367602,0.36554382003676017,gaussian
