,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-1.0000302810648805,0.16992965943612148,37,7D,50,50,3.2626106131389583,0.06525221226277916,gaussian
1,ground truth,-0.9997423797335546,0.16890080829542065,37,7D,52,52,3.753494821984811,0.07218259273047714,gaussian
2,ground truth,-0.9998333522539332,0.16036253188136784,37,7D,54,54,3.600409856710623,0.06667425660575227,gaussian
3,ground truth,-1.0000589287403159,0.16143979004627573,37,7D,56,56,3.7795704313378318,0.06749232913103272,gaussian
4,ground truth,-0.9996911139938015,0.16551752371176987,37,7D,58,58,3.7193035458543595,0.06412592320438551,gaussian
5,ground truth,-1.0001213833756162,0.17098911581828047,37,7D,60,60,3.7904399075980693,0.06317399845996782,gaussian
6,ground truth,-0.9998121284439859,0.16655997420308155,37,7D,62,62,3.767376820830801,0.06076414227146453,gaussian
7,ground truth,-0.9997917112698372,0.16841350966428004,37,7D,64,64,3.554415817936167,0.05553774715525261,gaussian
8,ground truth,-0.9997812858137155,0.16798875275594904,37,7D,66,66,3.673896836528057,0.05566510358375844,gaussian
9,ground truth,-0.9996631928419201,0.16332142736247734,37,7D,68,68,3.9175003331811977,0.05761029901737055,gaussian
10,ground truth,-0.9998851424233473,0.16726540502842002,37,7D,70,70,3.7026156335028784,0.052894509050041116,gaussian
11,ground truth,-0.9998889649358836,0.16473858221098392,37,7D,72,72,3.808377241177161,0.052894128349682795,gaussian
12,ground truth,-1.0000746583572835,0.1613318719906328,37,7D,74,74,3.715372740169097,0.050207739732014825,gaussian
13,ground truth,-0.9999733247969183,0.16365475148858577,37,7D,76,76,3.789156783744345,0.04985732610189928,gaussian
14,ground truth,-0.9997714233037578,0.15441759876013428,37,7D,78,78,3.868796462825887,0.04959995465161394,gaussian
15,ground truth,-0.9999850876269951,0.1622170389211467,37,7D,80,80,3.5811666996059897,0.044764583745074873,gaussian
16,ground truth,-0.9998390608205339,0.1624980995785097,37,7D,82,82,3.7094955735277013,0.04523775089667929,gaussian
17,ground truth,-1.0001333285749392,0.16499856930981638,37,7D,84,84,3.96143978730931,0.04715999746796798,gaussian
18,ground truth,-0.9999496479724207,0.16110666128234297,37,7D,86,86,3.8145706892315783,0.044355473130599746,gaussian
19,ground truth,-0.9999820564329864,0.1671490541718893,37,7D,88,88,3.818040654642818,0.043386825620941115,gaussian
20,ground truth,-0.9999715929995714,0.16771522673818906,37,7D,90,90,3.9368241295823463,0.043742490328692735,gaussian
21,ground truth,-1.0000958256244612,0.16481565137619547,37,7D,92,92,3.663624204427393,0.03982200222203688,gaussian
22,ground truth,-1.000047790856817,0.16063094468993344,37,7D,94,94,3.6418432176709583,0.03874301295394637,gaussian
23,ground truth,-1.0000285949744392,0.15675216831372418,37,7D,96,96,3.505402504763327,0.03651460942461799,gaussian
24,ground truth,-0.9999696980366627,0.16932998298486002,37,7D,98,98,3.933415342112396,0.04013689124604486,gaussian
25,ground truth,-0.9999044614731638,0.15995025929091689,37,7D,100,100,3.8860107642128194,0.038860107642128196,gaussian
