,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.7554168261378895,0.15838509732114003,37,7D,1.0,1.0,3.7708079529656318,3.7708079529656318,gaussian
1,ground truth,-0.8257826588914067,0.16340928982854253,37,7D,1.25,1.25,3.8815529799623283,3.1052423839698626,gaussian
2,ground truth,-0.8773406811466341,0.174003889844782,37,7D,1.5,1.5,3.6450093004975095,2.430006200331673,gaussian
3,ground truth,-0.9037403643105496,0.16487565172703245,37,7D,1.75,1.75,3.73590664680868,2.1348037981763883,gaussian
4,ground truth,-0.9353150600976327,0.17377166783825593,37,7D,2.0,2.0,3.7395981847386315,1.8697990923693157,gaussian
5,ground truth,-0.9447514075296759,0.16739253483372274,37,7D,2.25,2.25,3.8035911176681343,1.6904849411858374,gaussian
6,ground truth,-0.9490566255319053,0.16297610490450365,37,7D,2.5,2.5,3.8512807062450376,1.540512282498015,gaussian
7,ground truth,-0.9536493218250247,0.1707227695246526,37,7D,2.75,2.75,3.727335416817996,1.355394697024726,gaussian
8,ground truth,-0.9562548848088507,0.1654870860393426,37,7D,3.0,3.0,3.9115671658357134,1.3038557219452378,gaussian
9,ground truth,-0.9691619668197287,0.16941563507379132,37,7D,3.25,3.25,3.855248308249488,1.18623024869215,gaussian
10,ground truth,-0.9788345273736234,0.16552895489504982,37,7D,3.5,3.5,3.4933034104363476,0.9980866886960993,gaussian
11,ground truth,-0.9808770265565074,0.16817491361080605,37,7D,3.75,3.75,3.4384168364871788,0.916911156396581,gaussian
12,ground truth,-0.9804061357845568,0.16306671934207972,37,7D,4.0,4.0,3.6470179575401787,0.9117544893850447,gaussian
13,ground truth,-0.980900578467466,0.17119834496438935,37,7D,4.25,4.25,3.84180848967023,0.9039549387459365,gaussian
14,ground truth,-0.9851199680387003,0.1652888400750704,37,7D,4.5,4.5,3.6638995348784444,0.8141998966396543,gaussian
15,ground truth,-0.9824651336112937,0.16689315958523276,37,7D,4.75,4.75,3.84898150578492,0.81031189595472,gaussian
16,ground truth,-0.9881121066257713,0.1625085676040534,37,7D,5.0,5.0,3.6045770791703022,0.7209154158340605,gaussian
17,ground truth,-0.9878846564481536,0.15980633637812414,37,7D,5.25,5.25,3.5878829363601903,0.6834062735924172,gaussian
18,ground truth,-0.9942304359433622,0.1662001286465995,37,7D,5.5,5.5,3.6726933821223837,0.6677624331131606,gaussian
19,ground truth,-0.9904784759642622,0.15790529007040865,37,7D,5.75,5.75,3.6271590524665456,0.6308102699941819,gaussian
20,ground truth,-0.9908279925422874,0.16122827181514165,37,7D,6.0,6.0,4.023266401913316,0.6705444003188861,gaussian
21,ground truth,-0.988435838712233,0.15964179885743512,37,7D,6.25,6.25,3.7192795418824063,0.595084726701185,gaussian
22,ground truth,-0.9920498993112085,0.1642603344021285,37,7D,6.5,6.5,3.7539106198908603,0.57752471075244,gaussian
23,ground truth,-0.9943179598327779,0.1651757273407901,37,7D,6.75,6.75,3.708780812726701,0.5494490092928446,gaussian
24,ground truth,-0.9920082538322014,0.17021932940455975,37,7D,7.0,7.0,3.755684620596938,0.5365263743709912,gaussian
25,ground truth,-0.9951306275713434,0.16476656960914693,37,7D,7.25,7.25,3.770171366124599,0.5200236367068413,gaussian
26,ground truth,-0.9922805191641778,0.16307793230225065,37,7D,7.5,7.5,4.00820856408151,0.5344278085442014,gaussian
27,ground truth,-0.9947310148966313,0.16741173522976105,37,7D,7.75,7.75,3.5826116086868636,0.46227246563701463,gaussian
28,ground truth,-0.9946983846958539,0.15743075251488325,37,7D,8.0,8.0,3.779971829224972,0.4724964786531215,gaussian
29,ground truth,-0.9956388154594787,0.15937378286751003,37,7D,8.25,8.25,3.737620474796825,0.4530449060359788,gaussian
30,ground truth,-0.9960530751560753,0.16499015838213094,37,7D,8.5,8.5,3.7070160582079734,0.4361195362597616,gaussian
31,ground truth,-0.9952866611361959,0.16403250855325724,37,7D,8.75,8.75,3.8236780591767063,0.4369917781916236,gaussian
32,ground truth,-0.9961072797376695,0.16673373626978505,37,7D,9.0,9.0,4.043503353515971,0.4492781503906634,gaussian
33,ground truth,-0.9931211421495201,0.1571475336756445,37,7D,9.25,9.25,3.9576422827613933,0.42785321975798846,gaussian
34,ground truth,-0.9943387082793734,0.16491096607792444,37,7D,9.5,9.5,3.82669082933578,0.4028095609827137,gaussian
35,ground truth,-0.995534262539874,0.18141694140658782,37,7D,9.75,9.75,3.803918006055147,0.3901454365184766,gaussian
