,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.9973404852911697,0.1583869853331893,37,2D,11.0,11.0,1.8385227762781016,0.16713843420710014,gaussian
1,ground truth,-0.9965739023424072,0.16784366745558432,37,2D,11.5,11.5,1.9220563169307325,0.1671353319070202,gaussian
2,ground truth,-0.9980967985757769,0.16505969558964317,37,2D,12.0,12.0,1.9093709900407296,0.1591142491700608,gaussian
3,ground truth,-0.9974489411195709,0.16804984717274496,37,2D,12.5,12.5,1.9175256121825972,0.15340204897460777,gaussian
4,ground truth,-0.9978397479397301,0.1696498876026078,37,2D,13.0,13.0,2.0138315020645385,0.15491011554342604,gaussian
5,ground truth,-0.9999603317556113,0.16110223256562628,37,2D,13.5,13.5,1.7109646252577981,0.12673812038946652,gaussian
6,ground truth,-0.9977239390031769,0.17349609092229434,37,2D,14.0,14.0,2.0569532610594563,0.1469252329328183,gaussian
7,ground truth,-0.9983673599214651,0.15849171999547906,37,2D,14.5,14.5,1.8931677490802077,0.13056329304001432,gaussian
8,ground truth,-0.9985693918076408,0.16442465151641006,37,2D,15.0,15.0,1.9986765859985614,0.13324510573323742,gaussian
9,ground truth,-0.9991646803494346,0.16539956686927793,37,2D,15.5,15.5,1.6839676955379623,0.10864307713148144,gaussian
10,ground truth,-1.000197790607863,0.17130386850945722,37,2D,16.0,16.0,2.044356509094877,0.1277722818184298,gaussian
11,ground truth,-0.9988497444818856,0.15532019742519942,37,2D,16.5,16.5,1.907412219803508,0.115600740594152,gaussian
12,ground truth,-0.9976268507240482,0.1610052156278282,37,2D,17.0,17.0,2.059556483713279,0.12115038139489875,gaussian
13,ground truth,-0.9989615629613486,0.1673452234961751,37,2D,17.5,17.5,1.9922101253704205,0.11384057859259546,gaussian
14,ground truth,-0.9996921203950949,0.16431834237960163,37,2D,18.0,18.0,1.9069455216427544,0.10594141786904192,gaussian
15,ground truth,-0.9981379708505207,0.1664057962062906,37,2D,18.5,18.5,2.147947015617739,0.11610524408744535,gaussian
16,ground truth,-0.9988876623211561,0.1649901237449587,37,2D,19.0,19.0,2.1818063411172233,0.11483191269038018,gaussian
17,ground truth,-0.9994814061771797,0.1634484080345321,37,2D,19.5,19.5,1.8331939516897573,0.09400994624050038,gaussian
18,ground truth,-0.9992491331476747,0.15976068217552553,37,2D,20.0,20.0,1.9090850242817337,0.09545425121408668,gaussian
19,ground truth,-0.9994945844120428,0.15388454020764686,37,2D,20.5,20.5,1.7466762741126463,0.08520372068842177,gaussian
20,ground truth,-0.9995130409871377,0.1595944252074245,37,2D,21.0,21.0,1.912618794459237,0.09107708545043985,gaussian
21,ground truth,-0.9997309149817405,0.16318424227710937,37,2D,21.5,21.5,1.8925739757172837,0.08802669654498994,gaussian
22,ground truth,-1.000333363050411,0.155501962951465,37,2D,22.0,22.0,1.827099408697519,0.0830499731226145,gaussian
23,ground truth,-0.9997336110278191,0.16008085123850235,37,2D,22.5,22.5,1.6950036947740195,0.07533349754551198,gaussian
24,ground truth,-1.0000030743691328,0.16697559322206879,37,2D,23.0,23.0,1.8503984427469704,0.08045210620639001,gaussian
25,ground truth,-0.9991181422382587,0.17029345285216668,37,2D,23.5,23.5,2.108919713752601,0.08974126441500428,gaussian
26,ground truth,-0.9996288513918685,0.16267976081160018,37,2D,24.0,24.0,1.814671540918762,0.07561131420494842,gaussian
27,ground truth,-0.9992890759414126,0.1576167391782517,37,2D,24.5,24.5,1.9595200035442726,0.07998040830792949,gaussian
28,ground truth,-0.9996055276576735,0.15955773547856733,37,2D,25.0,25.0,1.9772122305926165,0.07908848922370466,gaussian
29,ground truth,-1.0000004769595745,0.166883054991663,37,2D,25.5,25.5,1.8438256208700359,0.07230688709294258,gaussian
30,ground truth,-0.999146922249207,0.16209388291963656,37,2D,26.0,26.0,2.047758041712077,0.07875992468123373,gaussian
31,ground truth,-0.999675073165227,0.1591086502350607,37,2D,26.5,26.5,1.9897916045984871,0.07508647564522593,gaussian
32,ground truth,-0.9995280437212102,0.16820394065045974,37,2D,27.0,27.0,1.992186802686112,0.07378469639578193,gaussian
33,ground truth,-0.9997611928823716,0.16085630395656125,37,2D,27.5,27.5,2.15371691703306,0.07831697880120218,gaussian
34,ground truth,-1.0001936198261845,0.16470619785886398,37,2D,28.0,28.0,2.0789054513031493,0.07424662326082676,gaussian
35,ground truth,-0.999901227388818,0.1643105937507784,37,2D,28.5,28.5,1.9645417562319458,0.06893128969234898,gaussian
36,ground truth,-1.0000734044240847,0.16453911215568506,37,2D,29.0,29.0,1.798703219618285,0.06202424895235466,gaussian
37,ground truth,-0.9991996723023879,0.16258843728446737,37,2D,29.5,29.5,1.7342727065973156,0.05878890530838358,gaussian
