29.2596 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1440, 900]. Using actual size
32.6598 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

32.6604 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1391a47f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1392b2278>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
32.6604 	EXP 	window1: recordFrameIntervals = False
32.8927 	EXP 	window1: recordFrameIntervals = True
32.9759 	WARNING 	t of last frame was 49.83ms (=1/20)
33.0941 	WARNING 	t of last frame was 51.81ms (=1/19)
33.2102 	WARNING 	t of last frame was 50.98ms (=1/19)
33.3272 	WARNING 	t of last frame was 51.54ms (=1/19)
33.4604 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
35.2297 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

37.4964 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
37.9317 	EXP 	text: autoDraw = True
45.5584 	DATA 	Keypress: space
47.4842 	EXP 	Imported trial_conditions.csv as conditions, 111 conditions, 9 params
47.4853 	EXP 	Created sequence: sequential, trialTypes=111, nReps=1, seed=None
47.4862 	EXP 	Created stim1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim1', opacity=1.0, ori=0, pos=array([10.,  0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4866 	EXP 	Created stim2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim2', opacity=1.0, ori=0, pos=array([7.07106781, 7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4870 	EXP 	Created stim3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim3', opacity=1.0, ori=0, pos=array([6.123234e-16, 1.000000e+01]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4874 	EXP 	Created stim4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim4', opacity=1.0, ori=0, pos=array([-7.07106781,  7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4878 	EXP 	Created stim5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim5', opacity=1.0, ori=0, pos=array([-1.0000000e+01,  1.2246468e-15]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4884 	EXP 	Created stim6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim6', opacity=1.0, ori=0, pos=array([-7.07106781, -7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4889 	EXP 	Created stim7 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim7', opacity=1.0, ori=0, pos=array([-1.8369702e-15, -1.0000000e+01]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4895 	EXP 	Created stim8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='stim8', opacity=1.0, ori=0, pos=array([ 7.07106781, -7.07106781]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4902 	EXP 	Created ref = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='ref', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
47.4955 	EXP 	Created page = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='page', opacity=1.0, ori=0, pos=array([ 20., -12.]), rgb=array([255., 255., 255.]), text='kjnk', units='deg', win=Window(...), wrapWidth=15.0)
47.4959 	EXP 	New trial (rep=0, index=0): OrderedDict([('ref', 'bear'), ('stim1', 'cat'), ('stim2', 'ant'), ('stim3', 'lizard'), ('stim4', 'owl'), ('stim5', 'horse'), ('stim6', 'pigeon'), ('stim7', 'sparrow'), ('stim8', 'giraffe')])
47.5348 	DATA 	Keypress: space
47.5629 	EXP 	text: autoDraw = False
47.5629 	EXP 	stim1: text = 'cat'
47.5629 	EXP 	stim2: text = 'ant'
47.5629 	EXP 	stim3: text = 'lizard'
47.5629 	EXP 	stim4: text = 'owl'
47.5629 	EXP 	stim5: text = 'horse'
47.5629 	EXP 	stim6: text = 'pigeon'
47.5629 	EXP 	stim7: text = 'sparrow'
47.5629 	EXP 	stim8: text = 'giraffe'
47.5629 	EXP 	ref: text = 'bear'
47.5629 	EXP 	page: text = '1'
47.5629 	EXP 	stim1: color = 'white (named)'
