45.4118 	EXP 	Created ref = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1.2, italic=False, languageStyle='LTR', name='ref', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='deg', win=Window(...), wrapWidth=15.0)
45.4193 	EXP 	Created page = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.5, italic=False, languageStyle='LTR', name='page', opacity=1.0, ori=0, pos=array([ 20., -12.]), rgb=array([255., 255., 255.]), text='kjnk', units='deg', win=Window(...), wrapWidth=15.0)
45.4196 	EXP 	New trial (rep=0, index=0): OrderedDict([('ref', 'hog'), ('stim1', 'bear'), ('stim2', 'ladybug'), ('stim3', 'goldfish'), ('stim4', 'horse'), ('stim5', 'sparrow'), ('stim6', 'goat'), ('stim7', 'fox'), ('stim8', 'turkey')])
45.4776 	DATA 	Keypress: space
45.5166 	EXP 	text: autoDraw = False
45.5166 	EXP 	stim1: text = 'bear'
45.5166 	EXP 	stim2: text = 'ladybug'
45.5166 	EXP 	stim3: text = 'goldfish'
45.5166 	EXP 	stim4: text = 'horse'
45.5166 	EXP 	stim5: text = 'sparrow'
45.5166 	EXP 	stim6: text = 'goat'
45.5166 	EXP 	stim7: text = 'fox'
45.5166 	EXP 	stim8: text = 'turkey'
45.5166 	EXP 	ref: text = 'hog'
45.5166 	EXP 	page: text = '1'
45.5166 	EXP 	stim1: color = 'white (named)'
45.5166 	EXP 	stim2: color = 'white (named)'
45.5166 	EXP 	stim3: color = 'white (named)'
45.5166 	EXP 	stim4: color = 'white (named)'
45.5166 	EXP 	stim5: color = 'white (named)'
45.5166 	EXP 	stim6: color = 'white (named)'
45.5166 	EXP 	stim7: color = 'white (named)'
45.5166 	EXP 	stim8: color = 'white (named)'
45.5166 	EXP 	page: autoDraw = True
45.5166 	EXP 	stim1: autoDraw = True
45.5166 	EXP 	stim2: autoDraw = True
45.5166 	EXP 	stim3: autoDraw = True
45.5166 	EXP 	stim4: autoDraw = True
45.5166 	EXP 	stim5: autoDraw = True
45.5166 	EXP 	stim6: autoDraw = True
45.5166 	EXP 	stim7: autoDraw = True
45.5166 	EXP 	stim8: autoDraw = True
45.5166 	EXP 	ref: autoDraw = True
45.5492 	EXP 	page: autoDraw = True
45.6170 	EXP 	page: autoDraw = True
45.6500 	EXP 	page: autoDraw = True
45.6831 	EXP 	page: autoDraw = True
45.7488 	EXP 	page: autoDraw = True
45.7834 	EXP 	page: autoDraw = True
45.8157 	EXP 	page: autoDraw = True
45.8824 	EXP 	page: autoDraw = True
45.9171 	EXP 	page: autoDraw = True
45.9834 	EXP 	page: autoDraw = True
46.0147 	EXP 	page: autoDraw = True
46.0475 	EXP 	page: autoDraw = True
46.1161 	EXP 	page: autoDraw = True
46.1488 	EXP 	page: autoDraw = True
46.2139 	EXP 	page: autoDraw = True
46.2490 	EXP 	page: autoDraw = True
46.2824 	EXP 	page: autoDraw = True
46.3499 	EXP 	page: autoDraw = True
46.3828 	EXP 	page: autoDraw = True
46.4458 	EXP 	page: autoDraw = True
46.4830 	EXP 	page: autoDraw = True
46.5167 	EXP 	page: autoDraw = True
46.5825 	EXP 	page: autoDraw = True
46.6158 	EXP 	page: autoDraw = True
46.6755 	EXP 	page: autoDraw = True
46.7002 	EXP 	page: autoDraw = True
46.7311 	EXP 	page: autoDraw = True
46.7880 	EXP 	page: autoDraw = True
46.8160 	EXP 	page: autoDraw = True
46.8493 	EXP 	page: autoDraw = True
46.9162 	EXP 	page: autoDraw = True
46.9494 	EXP 	page: autoDraw = True
47.0133 	EXP 	page: autoDraw = True
47.0490 	EXP 	page: autoDraw = True
47.0825 	EXP 	page: autoDraw = True
47.1493 	EXP 	page: autoDraw = True
47.1824 	EXP 	page: autoDraw = True
47.2446 	EXP 	page: autoDraw = True
47.2691 	EXP 	page: autoDraw = True
47.2977 	EXP 	page: autoDraw = True
47.3613 	EXP 	page: autoDraw = True
47.3851 	EXP 	page: autoDraw = True
47.4151 	EXP 	page: autoDraw = True
47.4759 	EXP 	page: autoDraw = True
47.5019 	EXP 	page: autoDraw = True
47.5327 	EXP 	page: autoDraw = True
47.5947 	EXP 	page: autoDraw = True
47.6208 	EXP 	page: autoDraw = True
47.6487 	EXP 	page: autoDraw = True
47.7098 	EXP 	page: autoDraw = True
47.7343 	EXP 	page: autoDraw = True
47.7660 	EXP 	page: autoDraw = True
47.8241 	EXP 	page: autoDraw = True
47.8494 	EXP 	page: autoDraw = True
47.8813 	EXP 	page: autoDraw = True
47.9419 	EXP 	page: autoDraw = True
47.9664 	EXP 	page: autoDraw = True
47.9982 	EXP 	page: autoDraw = True
48.0545 	EXP 	page: autoDraw = True
48.0824 	EXP 	page: autoDraw = True
48.1159 	EXP 	page: autoDraw = True
48.1825 	EXP 	page: autoDraw = True
48.2158 	EXP 	page: autoDraw = True
48.2804 	EXP 	page: autoDraw = True
48.3154 	EXP 	page: autoDraw = True
48.3501 	EXP 	page: autoDraw = True
48.4159 	EXP 	page: autoDraw = True
48.4490 	EXP 	page: autoDraw = True
48.5086 	EXP 	page: autoDraw = True
48.5336 	EXP 	page: autoDraw = True
48.5650 	EXP 	page: autoDraw = True
48.6228 	EXP 	page: autoDraw = True
48.6495 	EXP 	page: autoDraw = True
48.6813 	EXP 	page: autoDraw = True
48.7491 	EXP 	page: autoDraw = True
48.7822 	EXP 	page: autoDraw = True
48.8515 	EXP 	page: autoDraw = True
48.8825 	EXP 	page: autoDraw = True
48.9159 	EXP 	page: autoDraw = True
48.9827 	EXP 	page: autoDraw = True
49.0162 	EXP 	page: autoDraw = True
49.0779 	EXP 	page: autoDraw = True
49.1024 	EXP 	page: autoDraw = True
49.1319 	EXP 	page: autoDraw = True
49.1921 	EXP 	page: autoDraw = True
49.2168 	EXP 	page: autoDraw = True
49.2477 	EXP 	page: autoDraw = True
49.3068 	EXP 	page: autoDraw = True
49.3329 	EXP 	page: autoDraw = True
49.3649 	EXP 	page: autoDraw = True
49.4261 	EXP 	page: autoDraw = True
49.4508 	EXP 	page: autoDraw = True
49.4814 	EXP 	page: autoDraw = True
49.5395 	EXP 	page: autoDraw = True
49.5650 	EXP 	page: autoDraw = True
49.5986 	EXP 	page: autoDraw = True
49.6537 	EXP 	page: autoDraw = True
49.6820 	EXP 	page: autoDraw = True
49.7142 	EXP 	page: autoDraw = True
49.7823 	EXP 	page: autoDraw = True
49.8161 	EXP 	page: autoDraw = True
49.8780 	EXP 	page: autoDraw = True
49.9019 	EXP 	page: autoDraw = True
49.9334 	EXP 	page: autoDraw = True
49.9925 	EXP 	page: autoDraw = True
50.0165 	EXP 	page: autoDraw = True
50.0489 	EXP 	page: autoDraw = True
50.1086 	EXP 	page: autoDraw = True
50.1330 	EXP 	page: autoDraw = True
50.1646 	EXP 	page: autoDraw = True
50.2231 	EXP 	page: autoDraw = True
50.2491 	EXP 	page: autoDraw = True
50.2811 	EXP 	page: autoDraw = True
50.3338 	EXP 	page: autoDraw = True
50.3643 	EXP 	page: autoDraw = True
50.3977 	EXP 	page: autoDraw = True
50.4645 	EXP 	page: autoDraw = True
50.4989 	EXP 	page: autoDraw = True
50.5609 	EXP 	page: autoDraw = True
50.5846 	EXP 	page: autoDraw = True
50.6143 	EXP 	page: autoDraw = True
50.6724 	EXP 	page: autoDraw = True
50.6990 	EXP 	page: autoDraw = True
50.7310 	EXP 	page: autoDraw = True
50.7853 	EXP 	page: autoDraw = True
50.8162 	EXP 	page: autoDraw = True
50.8491 	EXP 	page: autoDraw = True
50.9150 	EXP 	page: autoDraw = True
50.9491 	EXP 	page: autoDraw = True
51.0102 	EXP 	page: autoDraw = True
51.0346 	EXP 	page: autoDraw = True
51.0646 	EXP 	page: autoDraw = True
51.1253 	EXP 	page: autoDraw = True
51.1496 	EXP 	page: autoDraw = True
51.1812 	EXP 	page: autoDraw = True
51.2380 	EXP 	page: autoDraw = True
51.2659 	EXP 	page: autoDraw = True
51.2995 	EXP 	page: autoDraw = True
51.3660 	EXP 	page: autoDraw = True
51.4002 	EXP 	page: autoDraw = True
51.4627 	EXP 	page: autoDraw = True
51.4863 	EXP 	page: autoDraw = True
51.5143 	EXP 	page: autoDraw = True
51.5756 	EXP 	page: autoDraw = True
51.6005 	EXP 	page: autoDraw = True
51.6316 	EXP 	page: autoDraw = True
