,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.12293333674177921,0.032551380402764604,37,6D,0.1,0.1,3.4284770624259724,34.28477062425972,gaussian
1,ground truth,-0.2463966167535987,0.06144824058815701,37,6D,0.2,0.2,3.3285055179430003,16.642527589715,gaussian
2,ground truth,-0.356413496449684,0.08959959480931984,37,6D,0.30000000000000004,0.30000000000000004,3.4479838426231293,11.493279475410429,gaussian
3,ground truth,-0.43282439142819057,0.1064662985280414,37,6D,0.4,0.4,3.347097373203475,8.367743433008688,gaussian
4,ground truth,-0.5393502024340139,0.12473584805895399,37,6D,0.5,0.5,3.374253297330415,6.74850659466083,gaussian
5,ground truth,-0.6225404558574006,0.13426747465718297,37,6D,0.6,0.6,3.218764667703579,5.364607779505965,gaussian
6,ground truth,-0.6470553148284534,0.143574608852311,37,6D,0.7000000000000001,0.7000000000000001,3.4522699497169946,4.93181421388142,gaussian
7,ground truth,-0.7007929195029392,0.15306107477028996,37,6D,0.8,0.8,3.6162850212739444,4.52035627659243,gaussian
8,ground truth,-0.7468872363779626,0.15414050173312088,37,6D,0.9,0.9,3.3301282732069426,3.7001425257854916,gaussian
9,ground truth,-0.7677979448387808,0.1643498216023217,37,6D,1.0,1.0,3.820415115841582,3.820415115841582,gaussian
10,ground truth,-0.7769183618620704,0.15630932129262154,37,6D,1.1,1.1,3.65714317452906,3.3246756132082362,gaussian
11,ground truth,-0.8226324558980683,0.16783545809649536,37,6D,1.2000000000000002,1.2000000000000002,3.3029503190142906,2.752458599178575,gaussian
12,ground truth,-0.8296463810968832,0.17101400266869426,37,6D,1.3000000000000003,1.3000000000000003,3.6241215448409068,2.7877858037237737,gaussian
13,ground truth,-0.8459353075083299,0.1732095100398492,37,6D,1.4000000000000001,1.4000000000000001,3.5275725320095184,2.5196946657210844,gaussian
14,ground truth,-0.884999799288002,0.1630595656848035,37,6D,1.5000000000000002,1.5000000000000002,3.311063038949902,2.207375359299934,gaussian
15,ground truth,-0.9049944239868172,0.16590795681024928,37,6D,1.6,1.6,3.236508884913447,2.022818053070904,gaussian
16,ground truth,-0.8808211274231168,0.16463608677211516,37,6D,1.7000000000000002,1.7000000000000002,3.7931622608699507,2.2312719181587943,gaussian
17,ground truth,-0.8948718260236868,0.16879307243372266,37,6D,1.8000000000000003,1.8000000000000003,3.7968013628112383,2.1093340904506874,gaussian
18,ground truth,-0.8890569399636936,0.16036318792430404,37,6D,1.9000000000000001,1.9000000000000001,3.889847250693653,2.04728802668087,gaussian
19,ground truth,-0.9186176984791583,0.16297478340788363,37,6D,2.0,2.0,3.482716042270487,1.7413580211352435,gaussian
20,ground truth,-0.9287029962616076,0.16881769073196196,37,6D,2.1,2.1,3.483335627331315,1.65873125111015,gaussian
