,Model,LL,Best LL - Ground Truth LL,Num Points,True Model,Observer Noise,Model Noise,RMS Distance,RMS:Sigma,Sampling Method
0,ground truth,-0.06926355327682789,0.017312667074586154,37,2D,0.1,0.1,3.9776822291086567,39.77682229108657,gaussian
1,ground truth,-0.08111115348814602,0.020417019908210654,37,2D,0.11,0.11,3.653432203361865,33.21302003056241,gaussian
2,ground truth,-0.08022366549290338,0.019772071301418725,37,2D,0.12,0.12,4.228906659619671,35.240888830163925,gaussian
3,ground truth,-0.09619613345584431,0.02396269851578378,37,2D,0.13,0.13,3.671870212928084,28.24515548406218,gaussian
4,ground truth,-0.08921638605492624,0.02197193052640041,37,2D,0.13999999999999999,0.13999999999999999,3.9782503373098614,28.416073837927584,gaussian
5,ground truth,-0.12097007726869899,0.03282621265605856,37,2D,0.14999999999999997,0.14999999999999997,3.3133563167790907,22.08904211186061,gaussian
6,ground truth,-0.10038278087576707,0.02525715813554169,37,2D,0.15999999999999998,0.15999999999999998,4.176869279997929,26.10543299998706,gaussian
7,ground truth,-0.11252473056419081,0.029444429916557074,37,2D,0.16999999999999998,0.16999999999999998,3.8981641486231835,22.93037734484226,gaussian
8,ground truth,-0.1242986373332286,0.03130599211251679,37,2D,0.17999999999999997,0.17999999999999997,3.6316945075930653,20.176080597739254,gaussian
9,ground truth,-0.1145530499900441,0.02840545770013095,37,2D,0.18999999999999995,0.18999999999999995,4.098156244514036,21.569243392179143,gaussian
10,ground truth,-0.122311546365335,0.028949187582345715,37,2D,0.19999999999999996,0.19999999999999996,4.14073230463129,20.703661523156455,gaussian
11,ground truth,-0.1371746848461669,0.036482129682939346,37,2D,0.20999999999999996,0.20999999999999996,4.226017859449583,20.123894568807543,gaussian
12,ground truth,-0.14913362647998196,0.03700679256369428,37,2D,0.21999999999999995,0.21999999999999995,3.802486720888208,17.28403054949186,gaussian
13,ground truth,-0.144230573591592,0.037312163179526764,37,2D,0.22999999999999995,0.22999999999999995,3.9464599146919745,17.15852136822598,gaussian
14,ground truth,-0.15513009220730645,0.03934158236713707,37,2D,0.23999999999999994,0.23999999999999994,3.8768339769986127,16.15347490416089,gaussian
15,ground truth,-0.1636523203581424,0.03880131990896267,37,2D,0.24999999999999992,0.24999999999999992,4.127998047476606,16.51199218990643,gaussian
16,ground truth,-0.1863455802278566,0.04772821099403837,37,2D,0.2599999999999999,0.2599999999999999,3.6030326017919516,13.857817699199819,gaussian
17,ground truth,-0.16239562773164895,0.04264393428365401,37,2D,0.2699999999999999,0.2699999999999999,4.453242423712202,16.493490458193346,gaussian
18,ground truth,-0.17382383310034988,0.04442502620417671,37,2D,0.2799999999999999,0.2799999999999999,4.098020445800452,14.635787306430188,gaussian
19,ground truth,-0.17433095056837655,0.041726470580919106,37,2D,0.2899999999999999,0.2899999999999999,3.948065789548271,13.614019963959558,gaussian
20,ground truth,-0.19034965654202052,0.050472366191910395,37,2D,0.29999999999999993,0.29999999999999993,3.9158933776804035,13.052977925601347,gaussian
21,ground truth,-0.20247709159826302,0.049745760086915586,37,2D,0.30999999999999994,0.30999999999999994,3.9424207228613835,12.717486202778659,gaussian
22,ground truth,-0.18536288323359684,0.0458310065450005,37,2D,0.3199999999999999,0.3199999999999999,4.438209310237792,13.869404094493106,gaussian
23,ground truth,-0.19680017896404586,0.04840269809332606,37,2D,0.32999999999999985,0.32999999999999985,4.2455966329253005,12.865444342197886,gaussian
24,ground truth,-0.20987852002099938,0.05498534046673356,37,2D,0.33999999999999986,0.33999999999999986,4.033311135640794,11.862679810708222,gaussian
25,ground truth,-0.24435302988420582,0.060715364131231964,37,2D,0.34999999999999987,0.34999999999999987,3.747903622775724,10.708296065073501,gaussian
26,ground truth,-0.1991867819195013,0.049611520210612214,37,2D,0.3599999999999999,0.3599999999999999,4.3214853456786475,12.00412596021847,gaussian
27,ground truth,-0.2019608993177414,0.05292295483808429,37,2D,0.3699999999999999,0.3699999999999999,4.759619520283446,12.863836541306616,gaussian
28,ground truth,-0.20552913194892525,0.051271571964107365,37,2D,0.3799999999999999,0.3799999999999999,4.343423594361409,11.430062090424762,gaussian
29,ground truth,-0.22807012115992686,0.05622824853449282,37,2D,0.3899999999999999,0.3899999999999999,4.1813343859448455,10.721370220371401,gaussian
30,ground truth,-0.2600877016075936,0.06488478448508414,37,2D,0.3999999999999998,0.3999999999999998,3.8594620047794708,9.648655011948682,gaussian
31,ground truth,-0.2961997101499868,0.07601579290947422,37,2D,0.4099999999999998,0.4099999999999998,3.617798831285513,8.823899588501256,gaussian
32,ground truth,-0.30032555363523916,0.0751876402995397,37,2D,0.4199999999999998,0.4199999999999998,3.433796203938393,8.175705247472367,gaussian
33,ground truth,-0.2541026052524386,0.062064847674211526,37,2D,0.4299999999999998,0.4299999999999998,4.292507028324608,9.982574484475837,gaussian
34,ground truth,-0.2684061460964738,0.06762033113816385,37,2D,0.43999999999999984,0.43999999999999984,4.180541074253095,9.501229714211583,gaussian
35,ground truth,-0.2761680071232915,0.06537369358568948,37,2D,0.44999999999999984,0.44999999999999984,4.142584773461554,9.205743941025679,gaussian
36,ground truth,-0.27228484503923106,0.06435871485435413,37,2D,0.45999999999999985,0.45999999999999985,4.180644198251643,9.088356952720964,gaussian
37,ground truth,-0.282218607978331,0.07285423650641856,37,2D,0.46999999999999986,0.46999999999999986,3.883950765216457,8.263725032375442,gaussian
38,ground truth,-0.2602226480282462,0.06546132286904141,37,2D,0.47999999999999976,0.47999999999999976,4.289446521019327,8.936346918790269,gaussian
